Data;Device ID;Link Quality Indicator;Operator;Sequence number;Timestamp;;Mensajes perdidos;Mensajes perdidos por dia;Mensajes enviados por dia
cdcc5f43f0178340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3795;06-01-2020 15:54;1;0;;
33336043ee4d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3793;06-01-2020 15:30;2;1;;
66e65e4306368340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3792;06-01-2020 15:18;1;0;;
cdcc5f43e4448340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3791;06-01-2020 15:11;1;0;;
00000000e2428240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3790;06-01-2020 15:06;1;0;;
0000000055d88240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3789;06-01-2020 14:53;1;0;;
0000000011f88240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3788;06-01-2020 14:52;1;0;;
9a995f432f8d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3787;06-01-2020 14:41;1;0;;
66665f439a508340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3785;06-01-2020 14:17;2;1;;
00805f43c44f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3784;06-01-2020 14:05;1;0;;
6666604311de8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3783;06-01-2020 13:53;1;0;;
666661431e668340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3781;06-01-2020 13:29;2;1;;
333362435e368340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3780;06-01-2020 13:17;1;0;;
666662438c088340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3779;06-01-2020 13:11;1;0;;
0000000035658240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3778;06-01-2020 13:05;1;0;;
0000000012a78240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3777;06-01-2020 12:53;1;0;;
0000000053e58240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3776;06-01-2020 12:52;1;0;;
9a19614388528340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3774;06-01-2020 12:29;2;1;;
33336143c41f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3773;06-01-2020 12:17;1;0;;
33b36243d4448340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3772;06-01-2020 12:05;1;0;;
000063432c5d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3771;06-01-2020 11:53;1;0;;
333362430d3e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3770;06-01-2020 11:41;1;0;;
cdcc6243ee208340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3769;06-01-2020 11:29;1;0;;
00006343f1ce8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3768;06-01-2020 11:26;1;0;;
00000000baba7e40020200;004D54B4;Average;SIGFOX_Chile_Mintek;3767;06-01-2020 11:17;1;0;;
00000000b42c7f40020200;004D54B4;Average;SIGFOX_Chile_Mintek;3766;06-01-2020 11:07;1;0;;
66665d4311c57f40000000;004D54B4;Average;SIGFOX_Chile_Mintek;3765;06-01-2020 11:05;1;0;;
9a19604305098040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3764;06-01-2020 10:53;1;0;;
33b36043ed418040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3763;06-01-2020 10:41;1;0;;
9a995f43089f8040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3762;06-01-2020 10:28;1;0;;
000062433d568140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3760;06-01-2020 10:04;2;1;;
9a195f4384738140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3759;06-01-2020 9:52;1;0;;
0000604389f58140000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3758;06-01-2020 9:40;1;0;;
33b35f4374788240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3756;06-01-2020 9:16;2;1;;
3333614364938240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3755;06-01-2020 9:04;1;0;;
3333604344558340000000;004D54B4;Limit;SIGFOX_Chile_Pilot Telefonica (temp);3754;06-01-2020 8:52;1;0;;
cd4c5f43fa498340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3753;06-01-2020 8:40;1;0;;
cdcc6143e9588340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3752;06-01-2020 8:28;1;0;;
33b35f435c3b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3751;06-01-2020 8:16;1;0;;
cd4c604310f18240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3750;06-01-2020 8:12;1;0;;
00000000b3728040020200;004D54B4;Average;SIGFOX_Chile_Mintek;3749;06-01-2020 8:04;1;0;;
00000000338b8040020200;004D54B4;Average;SIGFOX_Chile_Mintek;3748;06-01-2020 7:54;1;0;;
9a9961437cbf8040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3747;06-01-2020 7:52;1;0;;
9a1962431de88040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3746;06-01-2020 7:40;1;0;;
33b36243762c8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3744;06-01-2020 7:16;2;1;;
00006443ee6c8140000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3743;06-01-2020 7:04;1;0;;
66666343836b8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3742;06-01-2020 6:52;1;0;;
00006443a8978140000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3741;06-01-2020 6:40;1;0;;
6666634346ef8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3740;06-01-2020 6:28;1;0;;
33b3634344228240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3739;06-01-2020 6:15;1;0;;
33b362438a518240000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3738;06-01-2020 6:03;1;0;;
33b36243ecbb8240000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3737;06-01-2020 5:51;1;0;;
66666343df478340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3736;06-01-2020 5:39;1;0;;
cd4c6343e6308340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3734;06-01-2020 5:15;2;1;;
66666343fae48240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3733;06-01-2020 5:11;1;0;;
0000000070bb8140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3732;06-01-2020 5:03;1;0;;
00000000fcd98140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3731;06-01-2020 4:54;1;0;;
9a9963435c058240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3730;06-01-2020 4:51;1;0;;
6666634394488240000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3728;06-01-2020 4:27;2;1;;
33336443097b8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3727;06-01-2020 4:15;1;0;;
66e663430a4d8340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3725;06-01-2020 3:51;2;1;;
66666343e5348340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3724;06-01-2020 3:39;1;0;;
cdcc624357408340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3723;06-01-2020 3:27;1;0;;
66e66243a3378340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3722;06-01-2020 3:15;1;0;;
66e662438a098340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3721;06-01-2020 3:12;1;0;;
0000000070488040020200;004D54B4;Limit;SIGFOX_Chile_Mintek;3720;06-01-2020 3:03;1;0;;
000000000e838040020200;004D54B4;Average;SIGFOX_Chile_Mintek;3719;06-01-2020 2:54;1;0;;
000063439ecf8040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3717;06-01-2020 2:39;2;1;;
cd4c634396388140000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3716;06-01-2020 2:27;1;0;;
9a196343e0828140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3715;06-01-2020 2:15;1;0;;
9a99624335068240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3714;06-01-2020 2:02;1;0;;
cd4c654380658240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3713;06-01-2020 1:50;1;0;;
9a1965436e528340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3712;06-01-2020 1:38;1;0;;
00006543562c8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3711;06-01-2020 1:26;1;0;;
9a19644335558340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3710;06-01-2020 1:14;1;0;;
cdcc63438e288340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3709;06-01-2020 1:02;1;0;;
33b3634374448340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3708;06-01-2020 0:50;1;0;;
9a995f4302518340000000;004D54B4;Limit;SIGFOX_Chile_Pilot Telefonica (temp);3706;06-01-2020 0:26;2;1;;
