Timestamp,Human readable date,Data,Context
1582501812821,2020-02-23 20:50:12,0.0,"b'{""data"":""66665e4322eb8240000000""}'"
1582500910518,2020-02-23 20:35:10,0.0,"b'{""data"":""333360436fd88240000000""}'"
1582500008117,2020-02-23 20:20:08,0.0,"b'{""data"":""33b360432ee48240000000""}'"
1582499104736,2020-02-23 20:05:04,0.0,"b'{""data"":""9a996443ac538240000000""}'"
1582498851457,2020-02-23 20:00:51,0.0,"b'{""data"":""0000000081c18140020200""}'"
1582498270483,2020-02-23 19:51:10,0.0,"b'{""data"":""33336443c2fa8240000000""}'"
1582497367490,2020-02-23 19:36:07,0.0,"b'{""data"":""00006343ecfb8240000000""}'"
1582496465345,2020-02-23 19:21:05,0.0,"b'{""data"":""33336443bdde8240000000""}'"
1582494659516,2020-02-23 18:50:59,0.0,"b'{""data"":""66e66343f3f28240000000""}'"
1582493756514,2020-02-23 18:35:56,0.0,"b'{""data"":""9a1964438af88240000000""}'"
1582492854287,2020-02-23 18:20:54,0.0,"b'{""data"":""9a9964437fdf8240000000""}'"
1582491950533,2020-02-23 18:05:50,0.0,"b'{""data"":""666661439a008340000000""}'"
1582491048714,2020-02-23 17:50:48,0.0,"b'{""data"":""00006343e3f08240000000""}'"
1582490144569,2020-02-23 17:35:44,0.0,"b'{""data"":""cd4c6143b3fb8240000000""}'"
1582489245728,2020-02-23 17:20:45,0.0,"b'{""data"":""cd4c6343b61a8340000000""}'"
1582488339359,2020-02-23 17:05:39,0.0,"b'{""data"":""333363431af18240000000""}'"
1582487437298,2020-02-23 16:50:37,0.0,"b'{""data"":""cdcc6143b6ff8240000000""}'"
1582486533590,2020-02-23 16:35:33,0.0,"b'{""data"":""cd4c614375d28240000000""}'"
1582485630379,2020-02-23 16:20:30,0.0,"b'{""data"":""33b35f43fdec8240000000""}'"
1582484727833,2020-02-23 16:05:27,0.0,"b'{""data"":""cdcc604378f68240000000""}'"
1582483824610,2020-02-23 15:50:24,0.0,"b'{""data"":""0000614360f58240000000""}'"
1582482921384,2020-02-23 15:35:21,0.0,"b'{""data"":""66e65f4312fd8240000000""}'"
1582482018588,2020-02-23 15:20:18,0.0,"b'{""data"":""00806143b6fe8240000000""}'"
1582481117113,2020-02-23 15:05:17,0.0,"b'{""data"":""66666143ccfa8240000000""}'"
1582480214171,2020-02-23 14:50:14,0.0,"b'{""data"":""cd4c6043e2fa8240000000""}'"
1582479310534,2020-02-23 14:35:10,0.0,"b'{""data"":""66e66043600d8340000000""}'"
1582478408275,2020-02-23 14:20:08,0.0,"b'{""data"":""00806043d8088340000000""}'"
