Timestamp,Human readable date,Voltaje Batería,Context
1581553231157,2020-02-12 21:20:31,4.089698,b'{}'
1581552328889,2020-02-12 21:05:28,4.093672,b'{}'
1581551425780,2020-02-12 20:50:25,4.0949273,b'{}'
1581549621201,2020-02-12 20:20:21,4.095158,b'{}'
1581547816341,2020-02-12 19:50:16,4.096884,b'{}'
1581546008725,2020-02-12 19:20:08,4.0894947,b'{}'
1581545176164,2020-02-12 19:06:16,4.0523014,b'{}'
1581545120671,2020-02-12 19:05:20,4.0523014,b'{}'
1581544851042,2020-02-12 19:00:51,4.049795,b'{}'
1581544226491,2020-02-12 18:50:26,4.0964675,b'{}'
1581543323524,2020-02-12 18:35:23,4.093771,b'{}'
1581542419606,2020-02-12 18:20:19,4.0954647,b'{}'
1581540616508,2020-02-12 17:50:16,4.0917487,b'{}'
1581539711649,2020-02-12 17:35:11,4.083634,b'{}'
1581538810186,2020-02-12 17:20:10,4.0905046,b'{}'
1581537906988,2020-02-12 17:05:06,4.091421,b'{}'
1581537650563,2020-02-12 17:00:50,4.054743,b'{}'
1581537096552,2020-02-12 16:51:36,4.09078,b'{}'
1581536194674,2020-02-12 16:36:34,4.094764,b'{}'
1581535291607,2020-02-12 16:21:31,4.0934334,b'{}'
1581534388566,2020-02-12 16:06:28,4.097518,b'{}'
1581533486579,2020-02-12 15:51:26,4.0911765,b'{}'
1581532585052,2020-02-12 15:36:25,4.094795,b'{}'
1581531682297,2020-02-12 15:21:22,4.0925345,b'{}'
1581530779494,2020-02-12 15:06:19,4.0930247,b'{}'
1581529878350,2020-02-12 14:51:18,4.0971003,b'{}'
1581528975396,2020-02-12 14:36:15,4.097831,b'{}'
1581528072654,2020-02-12 14:21:12,4.090665,b'{}'
1581527170550,2020-02-12 14:06:10,4.0920677,b'{}'
1581526268424,2020-02-12 13:51:08,4.0916805,b'{}'
1581525364498,2020-02-12 13:36:04,4.0954,b'{}'
1581524461727,2020-02-12 13:21:01,4.0881925,b'{}'
1581523559567,2020-02-12 13:05:59,4.093865,b'{}'
1581522658326,2020-02-12 12:50:58,4.093808,b'{}'
1581521755340,2020-02-12 12:35:55,4.0965247,b'{}'
1581520852665,2020-02-12 12:20:52,4.0894375,b'{}'
1581519046755,2020-02-12 11:50:46,4.094516,b'{}'
1581518144590,2020-02-12 11:35:44,4.0891857,b'{}'
1581517240368,2020-02-12 11:20:40,4.0958576,b'{}'
1581516338295,2020-02-12 11:05:38,4.0942693,b'{}'
1581515436668,2020-02-12 10:50:36,4.094063,b'{}'
1581514532385,2020-02-12 10:35:32,4.0948462,b'{}'
1581513629494,2020-02-12 10:20:29,4.0856047,b'{}'
1581512727411,2020-02-12 10:05:27,4.0924473,b'{}'
1581511824309,2020-02-12 09:50:24,4.0908737,b'{}'
1581510922430,2020-02-12 09:35:22,4.092082,b'{}'
1581510020327,2020-02-12 09:20:20,4.0912237,b'{}'
1581509117656,2020-02-12 09:05:17,4.092269,b'{}'
1581508215162,2020-02-12 08:50:15,4.0960045,b'{}'
