Timestamp,Human readable date,AvgSNR,Data,Diferencia,Duplicado,Estado de bateria,Estado de Sistema,Estado Voltaje AC,ID Dispositivo,ID Estación,ID Tipo de Dispositivo,Latitud,Longitud,Número de Secuencia,RSSI,SNR,TimeStamp,Voltaje AC,Voltaje Batería,context_AvgSNR,context_Data,context_Diferencia,context_Duplicado,context_Estado de bateria,context_Estado de Sistema,context_Estado Voltaje AC,context_ID Dispositivo,context_ID Estación,context_ID Tipo de Dispositivo,context_Latitud,context_Longitud,context_Número de Secuencia,context_RSSI,context_SNR,context_TimeStamp,context_Voltaje AC,context_Voltaje Batería
1582519824727,2020-02-24 01:50:24,14.99,0.0,3358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3359.0,-121.0,11.61,1582519823.0,228.0,3.8224463,b'{}',"b'{""data"":""00006443f6a27440000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582518922671,2020-02-24 01:35:22,14.76,0.0,3357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3358.0,-123.0,14.61,1582518921.0,227.6,3.8474169,b'{}',"b'{""data"":""9a996343143c7640000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582518020587,2020-02-24 01:20:20,14.6,0.0,3356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3357.0,-121.0,16.03,1582518019.0,225.4,3.875439,b'{}',"b'{""data"":""6666614331077840000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582517124807,2020-02-24 01:05:24,14.46,0.0,3355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3356.0,-121.0,16.37,1582517116.0,226.2,3.9043906,b'{}',"b'{""data"":""3333624389e17940000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582516217581,2020-02-24 00:50:17,14.34,0.0,3354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3355.0,-122.0,15.21,1582516214.0,228.6,3.9433653,b'{}',"b'{""data"":""9a99644319607c40000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582515313632,2020-02-24 00:35:13,14.43,0.0,3353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3354.0,-126.0,10.75,1582515310.0,228.8,3.9663274,b'{}',"b'{""data"":""cdcc64434fd87d40000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582514409589,2020-02-24 00:20:09,14.44,0.0,3352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3353.0,-127.0,10.47,1582514407.0,229.1,3.9954507,b'{}',"b'{""data"":""9a19654377b57f40000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582513594667,2020-02-24 00:06:34,14.42,0.0,3351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3352.0,-123.0,14.01,1582513505.0,227.6,4.0401125,b'{}',"b'{""data"":""9a9963439a488140000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582513256587,2020-02-24 00:00:56,14.11,0.0,3349.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-34.0,-71.0,3351.0,-122.0,16.01,1582513251.0,0.0,4.0505357,b'{}',"b'{""data"":""00000000fd9d8140020200""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582511744862,2020-02-23 23:35:44,13.81,0.0,3348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3349.0,-125.0,12.8,1582511741.0,226.4,4.0884714,b'{}',"b'{""data"":""66666243c2d48240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
